id,station_id,dist
CA002201575,71497,410.51934086
CA002201799,71087,367.69949346
CA002201900,71160,773.35717794
CA002201903,71073,404.40366389
CA002201998,74063,256.01478405
CA002202200,71934,407.75607046
CA002202400,71935,274.7356246
CA002202560,71162,406.49622052
CA002202570,71957,136.60382484
CA002202800,74043,405.02198729
CA002202801,71043,368.07571419
CA002203095,71502,860.36349143
CA002203910,71959,0.34043883
CA002204100,71936,376.89484891
CA002204155,72936,367.79541355
CA002300700,71916,403.51039144
CA002300750,71053,562.510003
CA002300850,71062,398.79548542
CA002300900,72938,393.43742357
CA002300904,71938,484.37959816
CA002300MQM,71498,840.56100106
CA002301000,71915,159.67147689
CA002301331,71049,397.467543
CA002302650,71071,134.30431784
CA0023026HN,71496,987.48694014
CA002303401,71083,404.0287298
CA002303610,71490,155.08278003
CA002304058,71507,854.67415534
CA00230J048,71499,403.49148425
CA002400305,71082,48.1368225
CA002400306,74082,411.55405857
CA002400400,71918,653.48696557
CA002400565,71097,368.06190755
CA002400595,71929,133.51964037
CA002400600,71925,133.69873371
CA002400654,71094,390.58078706
CA002402340,71927,367.89341669
CA002402350,71081,372.49980621
CA002402590,71909,3.77887723
CA002402600,71074,387.41683964
CA002402667,71098,367.47990765
CA002402686,71080,549.02989575
CA002402900,71908,403.66141109
CA002403500,71924,563.19261411
CA002502G00,71072,416.89310161
CA002503650,71051,574.22010369
CA003011240,71254,428.92275133
CA003011885,71873,681.80701471
CA003012205,71123,417.12952211
CA003012208,71879,427.2851034
CA003012212,71121,427.03558423
CA003013247,71241,219.3238068
CA003015523,71928,331.14830807
CA00301B460,71240,366.95777817
CA003023722,71242,0.33958706
CA003025480,71878,368.00468662
CA003030838,74126,679.46199474
CA003030856,71457,0.13747111
CA003031092,71877,266.54593953
CA003031875,71235,434.11579409
CA003033875,71874,367.33808763
CA003033892,71243,238.1530447
CA003034479,71872,436.4674971
CA003035220,71875,977.84285878
CA003036240,71128,436.03292217
CA003044200,71116,438.94715154
CA003050521,71122,433.5830327
CA003050778,71232,434.05882543
CA003053520,71888,429.45661529
CA00305MGFF,71245,231.87979104
CA003062239,72881,782.02324753
CA003062246,71881,367.56122179
CA003062693,71932,202.50215166
CA003063685,71931,623.0311282
